1 insat2: 1 missile vs 2 target with 2 passive satellites  ' Missile_c1 ' Mar  5 2016 14:33:23
  0  0 47
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          
0               0.474579        0               -2.49433        8254.08         
0.667862        14.7003         35.4            10000           200.012         
90.0005         -0.0514877      -4.67181e-05    10.0003         0.00449342      
-0.00186873     200.012         0.179737        4               135.5           
726.372         6.24016         90              0               0.253925        
0               -0.307198       -0.465272       -9.30545        -0.465272       
-0.214464       3.31723         -0.00536161     -1              -0.0207013      
0               -0.179737       7000            18098.6         0               
0               0               0               0               0               
0               0               
1               0.0716441       -0.588953       8.50797         8362.86         
0.671968        14.7025         35.4            9993.89         201.286         
89.9035         -3.92202        0.0973703       210.58          6.11122         
0.338359        200.814         13.7677         6               135.496         
1676.24         -4.28584        90              0               -0.858905       
0               -9.48137        3.64494         0.871652        3.64494         
-0.153894       3.23137         -0.165481       -1              -0.00654096     
-0.0601648      -13.7677        7000            17898.4         0               
0               0               0               0               0               
0               0               
2               -0.234645       -0.038688       9.55946         8465.42         
0.674922        14.7047         35.4            9970.62         202.265         
89.8363         -9.34275        0.60029         410.866         29.3832         
0.570266        199.581         32.8357         6               135.492         
1676.22         -4.15512        90              0               -0.965878       
0               -10             0.159169        -0.458355       0.159169        
-0.104074       3.20625         -0.244075       -0.753419       0.00386741      
-0.00395216     -32.8357        7000            17698.4         0               
0               0               0               0               0               
0               0               
3               1.10424         0.0227559       3.76876         8672.31         
0.680962        14.7069         35.4            9928.29         204.301         
89.8536         -14.5052        1.1429          609.46          71.7086         
0.505287        197.789         51.1711         6               135.488         
1676.16         -3.99938        90              0               -0.374637       
0               -3.67774        -0.374263       -0.684383       -0.374263       
0.308686        3.15831         -0.0641886      1.11965         0.00224344      
0.00232459      -51.1711        7000            17500.1         0               
0               0               0               0               0               
0               0               
4               -0.463908       0.0320501       -15.3935        9044.04         
0.692521        14.7091         35.4            9873.69         207.869         
89.8666         -15.2873        1.63133         808.324         126.313         
0.467023        200.513         54.8068         6               135.484         
1676.06         6.15553         90              0               1.5489          
0               12.2767         0.11711         0.0921135       0.11711         
0.222718        3.07551         0.214269        1.49102         0.00124587      
0.00327397      -54.8068        7000            17301.6         0               
0               0               0               0               0               
0               0               
5               -0.925705       0.00582723      -16.8721        9206.78         
0.695991        14.7113         35.4            9822.66         209.017         
89.8835         -12.9971        2.06958         1010.48         177.343         
0.413949        203.662         47.0083         6               135.48          
1676.03         5.68721         90              0               1.70153         
0               12.498          0.0149863       -0.0278042      0.0149863       
-0.0409912      3.0364          0.218132        0.694393        -0.000413097    
0.000595251     -47.0083        7000            17099.7         0               
0               0               0               0               0               
0               0               
6               0.178511        -0.0108407      -7.77326        9458.27         
0.703011        14.7136         35.4            9777.6          211.317         
89.8929         -12.2049        2.46844         1215.63         222.397         
0.386135        206.54          44.6741         4               135.477         
789.005         10.0477         90              0               0.78916         
0               4.84935         -0.0866142      -0.148679       -0.0866142      
-0.0778493      3.03026         0.0846372       0.455964        -0.00102521     
-0.00110736     -44.6741        7000            16894.9         0               
0               0               0               0               0               
0               0               
7               -0.156278       -0.0207885      -4.78483        9692.45         
0.709155        14.7159         35.4            9730.97         213.293         
89.8994         -13.3016        2.84306         1422.73         269.029         
0.36451         207.57          49.0736         5               135.476         
293.504         9.38006         90              0               0.488976        
0               2.73891         -0.253452       -0.288706       -0.253452       
0.0464148       3.0056          0.047803        0.905384        -0.00123446     
-0.00212348     -49.0736        7000            16688.1         0               
0               0               0               0               0               
0               0               
8               -0.606895       -0.0292439      -9.14581        9938.55         
0.715334        14.7182         35.4            9679.95         215.293         
89.9025         -14.0384        3.20219         1630.88         320.052         
0.355413        208.863         52.224          5               135.475         
291.446         9.53869         90              0               0.935562        
0               6.20023         -0.176442       -0.11615        -0.176442       
0.100682        2.95404         0.108214        1.22718         -0.000949302    
-0.00298713     -52.224         7000            16480.3         0               
0               0               0               0               0               
0               0               
9               -1.17817        -0.0192326      -12.2033        10135.4         
0.719545        14.7205         35.4            9628.08         216.69          
89.9064         -13.6094        3.55283         1840.61         371.921         
0.344075        210.606         50.9874         5               135.473         
289.773         7.98216         90              0               1.25087         
0               8.24423         -0.0882408      -0.0708267      -0.0882408      
0.0503734       2.91239         0.143889        1.10086         -0.000773759    
-0.00196449     -50.9874        7000            16270.8         0               
0               0               0               0               0               
0               0               
