1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept Mar 14 2016 14:48:31
  0  0 67
time            vmach_h1        lonx_h1         latx_h1         alt_h1          
dvbe_h1         dvbi_h1         psivdx_h1       thtvdx_h1       SBII1_h1        
SBII2_h1        SBII3_h1        VBII1_h1        VBII2_h1        VBII3_h1        
mseek_h1        dbi_t1          SBII1_t1        SBII2_t1        SBII3_t1        
VBII1_t1        VBII2_t1        VBII3_t1        lonx_t1         latx_t1         
alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       arg_latx_t1     
SBII1_r1        SBII2_r1        SBII3_r1        VBII1_r1        VBII2_r1        
VBII3_r1        dbi_r1          STCII11_r1      STCII12_r1      STCII13_r1      
VTCII11_r1      VTCII12_r1      VTCII13_r1      STCII21_r1      STCII22_r1      
STCII23_r1      VTCII21_r1      VTCII22_r1      VTCII23_r1      STCII31_r1      
STCII32_r1      STCII33_r1      VTCII31_r1      VTCII32_r1      VTCII33_r1      
STCII41_r1      STCII42_r1      STCII43_r1      VTCII41_r1      VTCII42_r1      
VTCII43_r1      STCII51_r1      STCII52_r1      STCII53_r1      VTCII51_r1      
VTCII52_r1      VTCII53_r1      
0               0               -75.5826        30.1857         3000            
150             522.942         47.564          4               1.37451e+06     
-5.34663e+06    3.18982e+06     486.452         168.136         92.5382         
0               6.71189e+06     -2.42374e+06    -6.21943e+06    -702627         
4758.18         -2123.52        5889.13         -111.291        -6.04683        
333989          7549.96         38.7281         -2.8159         0               
4.61138e+06     -2.15032e+06    3.83416e+06     156.804         336.267         
0               6.37099e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
0               0.456505        -75.5825        30.1857         3000.1          
149.748         522.582         47.4572         4.00383         1.37452e+06     
-5.34663e+06    3.18982e+06     486.083         168.067         92.5651         
0               6.71189e+06     -2.42369e+06    -6.21945e+06    -702568         
4758.2          -2123.47        5889.14         -111.291        -6.04632        
333985          7549.96         38.728          -2.81553        352.001         
4.61138e+06     -2.15032e+06    3.83416e+06     156.804         336.267         
0               6.37099e+06     -2.42369e+06    -6.21945e+06    -702568         
4758.2          -2123.47        5889.14         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
10              1.07072         -75.5636        30.206          2752.98         
352.868         682.132         39.0209         -0.737462       1.37985e+06     
-5.34387e+06    3.19164e+06     569.313         293.496         234.621         
0               6.70824e+06     -2.37595e+06    -6.24027e+06    -643631         
4789.92         -2041.12        5898.09         -110.886        -5.54056        
330295          7554.3          38.6816         -2.78657        352.672         
4.61295e+06     -2.14696e+06    3.83416e+06     156.559         336.382         
0               6.37099e+06     -2.37595e+06    -6.24027e+06    -643631         
4789.92         -2041.12        5898.09         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
20              1.07944         -75.5405        30.2307         2907.71         
355.086         684.009         39.0798         3.07595         1.38559e+06     
-5.3411e+06     3.19409e+06     575.177         275.373         247.407         
0               6.70461e+06     -2.32789e+06    -6.26027e+06    -584609         
4821.07         -1958.35        5906.28         -110.481        -5.0339         
326640          7558.61         38.6395         -2.75724        353.343         
4.61451e+06     -2.14359e+06    3.83416e+06     156.313         336.496         
0               6.37099e+06     -2.32789e+06    -6.26027e+06    -584609         
4821.07         -1958.35        5906.28         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
30              1.09264         -75.5172        30.2557         3099.02         
358.599         687.203         39.1322         3.07174         1.39135e+06     
-5.33833e+06    3.19657e+06     576.851         277.822         249.609         
0               6.70103e+06     -2.27953e+06    -6.27944e+06    -525508         
4851.62         -1875.19        5913.69         -110.077        -4.52637        
323023          7562.87         38.6018         -2.72753        354.016         
4.61607e+06     -2.14023e+06    3.83416e+06     156.068         336.609         
0               6.37099e+06     -2.27953e+06    -6.27944e+06    -525508         
4851.62         -1875.19        5913.69         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
40              1.10619         -75.4936        30.2808         3292.05         
362.194         690.476         39.1853         3.06854         1.39712e+06     
-5.33554e+06    3.19908e+06     578.572         280.315         251.865         
0               6.69748e+06     -2.23086e+06    -6.29778e+06    -466338         
4881.58         -1791.65        5920.32         -109.673        -4.018          
319443          7567.09         38.5683         -2.69744        354.689         
4.61763e+06     -2.13686e+06    3.83416e+06     155.822         336.723         
0               6.37099e+06     -2.23086e+06    -6.29778e+06    -466338         
4881.58         -1791.65        5920.32         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
50              1.12009         -75.4697        30.3062         3486.81         
365.875         693.834         39.2392         3.06471         1.40292e+06     
-5.33273e+06    3.20161e+06     580.338         282.862         254.17          
0               6.69396e+06     -2.1819e+06     -6.31527e+06    -407105         
4910.94         -1707.73        5926.17         -109.269        -3.50885        
315900          7571.26         38.5391         -2.667          355.362         
