1 input_test.asc  Three-stage rocket ascent
 ' SLV1
 ' Oct 14 2018 11:06:30
  0  0 90
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           UTBC1           
UTBC2           UTBC3           lamd            waclp           zaclp           
paclp           alcomx_actual   ancomx_actual   wacly           alcomx          
ancomx          wnact           delax           delex           delrx           
modes           ucbias_error    ucfreq_error    SXH1            SXH2            
SXH3            VXH1            VXH2            VXH3            CXH1            
CXH2            CXH3            std_pos         std_vel         std_ucbias      
URIC1           URIC2           URIC3           etax            zetx            
0               0.00294195      0.606641        90              90              
176.932         8.53774e-06     -7              8.5255e-06      -1.0468e-06     
0               1.27328e-10     -3.31706e-10    -120.49         34.68           
100.005         1.04741         382.891         -1.01749        89.9981         
1.71796e-07     1.52303e-13     1.24041e-12     9.27623e-11     48982.7         
10.5298         1.28525         1.40763e+06     31173.7         0.4             
0               0               0               -2.55566        -2.55566        
0.00568625      0               0               0.00568625      0               
0               4.78003e-06     4.78003e-06     0.196985        0.66719         
-180            89.9995         180             0.000165307     0.00014473      
3.93167e-05     -5.05219        1.05765         -9.46754        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0.5             0.0307725       66.3496         -82.5066        87.929          
0.503878        0               180             -1.14904        0.0617605       
0.0241549       -8.12807        -0.471378       -120.49         34.68           
102.902         10.555          382.865         -78.1699        89.0549         
0.0225412       0               -0              1.21712e-05     48725.7         
10.4988         258.335         1.40763e+06     30916.7         0.4             
7               2               6               -2.53999        -2.53999        
0.0594758       0               0               0.0594758       0               
0               0.000527615     0.000527615     -1.12869        0.116865        
0.348061        87.9381         -82.5673        0.000161805     0.000146438     
3.8066e-05      -5.0589         1.04778         -9.4526         0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
1               0.0589608       243.359         -82.9309        84.7351         
